x1,x2,y,预测y
0.0,0.0,0.0,-13.3621435
0.0,1.0,1.0,-11.091065
0.0,2.0,4.0,-7.218354
0.0,3.0,9.0,-1.6623566
0.0,4.0,16.0,5.646524
0.0,5.0,25.0,14.771543
0.0,6.0,36.0,25.763208
0.0,7.0,49.0,38.664555
0.0,8.0,64.0,53.50886
0.0,9.0,81.0,70.322655
0.0,10.0,100.0,89.12503
0.0,11.0,121.0,109.92824
0.0,12.0,144.0,132.7415
0.0,13.0,169.0,157.56776
0.0,14.0,196.0,184.40671
0.0,15.0,225.0,213.25713
0.0,16.0,256.0,244.11507
0.0,17.0,289.0,276.97562
0.0,18.0,324.0,311.83246
0.0,19.0,361.0,348.68326
0.0,20.0,400.0,387.52237
0.0,21.0,441.0,428.34717
0.0,22.0,484.0,471.15714
0.0,23.0,529.0,515.9516
0.0,24.0,576.0,562.7355
0.0,25.0,625.0,611.5123
0.0,26.0,676.0,662.2888
0.0,27.0,729.0,715.074
0.0,28.0,784.0,769.87836
0.0,29.0,841.0,826.7122
0.0,30.0,900.0,885.58777
0.0,31.0,961.0,946.5177
0.0,32.0,1024.0,1009.5128
0.0,33.0,1089.0,1074.5836
0.0,34.0,1156.0,1141.737
0.0,35.0,1225.0,1210.9768
0.0,36.0,1296.0,1282.3024
0.0,37.0,1369.0,1355.7085
0.0,38.0,1444.0,1431.1819
0.0,39.0,1521.0,1508.7025
0.0,40.0,1600.0,1588.2415
0.0,41.0,1681.0,1669.7605
0.0,42.0,1764.0,1753.2097
0.0,43.0,1849.0,1838.5304
0.0,44.0,1936.0,1925.6505
0.0,45.0,2025.0,2014.487
0.0,46.0,2116.0,2104.945
0.0,47.0,2209.0,2196.916
0.0,48.0,2304.0,2290.282
0.0,49.0,2401.0,2384.9136
1.0,0.0,1.0,-9.07815
1.0,1.0,2.0,-6.8517222
1.0,2.0,5.0,-3.0240734
1.0,3.0,10.0,2.4856012
1.0,4.0,17.0,9.750207
1.0,5.0,26.0,18.831917
1.0,6.0,37.0,29.78285
1.0,7.0,50.0,42.64611
1.0,8.0,65.0,57.45494
1.0,9.0,82.0,74.236984
1.0,10.0,101.0,93.01063
1.0,11.0,122.0,113.790184
1.0,12.0,145.0,136.58258
1.0,13.0,170.0,161.39206
1.0,14.0,197.0,188.21815
1.0,15.0,226.0,217.05894
1.0,16.0,257.0,247.90985
1.0,17.0,290.0,280.76624
1.0,18.0,325.0,315.62097
1.0,19.0,362.0,352.47083
1.0,20.0,401.0,391.3096
1.0,21.0,442.0,432.13385
1.0,22.0,485.0,474.9426
1.0,23.0,530.0,519.73584
1.0,24.0,577.0,566.5143
1.0,25.0,626.0,615.28406
1.0,26.0,677.0,666.05005
1.0,27.0,730.0,718.8209
1.0,28.0,785.0,773.6063
1.0,29.0,842.0,830.4168
1.0,30.0,901.0,889.2656
1.0,31.0,962.0,950.1633
1.0,32.0,1025.0,1013.1228
1.0,33.0,1090.0,1078.154
1.0,34.0,1157.0,1145.2651
1.0,35.0,1226.0,1214.4602
1.0,36.0,1297.0,1285.7413
1.0,37.0,1370.0,1359.1028
1.0,38.0,1445.0,1434.5333
1.0,39.0,1522.0,1512.016
1.0,40.0,1601.0,1591.5236
1.0,41.0,1682.0,1673.0173
1.0,42.0,1765.0,1756.4529
1.0,43.0,1850.0,1841.7701
1.0,44.0,1937.0,1928.9005
1.0,45.0,2026.0,2017.7623
1.0,46.0,2117.0,2108.2634
1.0,47.0,2210.0,2200.2952
1.0,48.0,2305.0,2293.7407
1.0,49.0,2402.0,2388.4714
2.0,0.0,4.0,-3.7147079
2.0,1.0,5.0,-1.5258647
2.0,2.0,8.0,2.2632608
2.0,3.0,13.0,7.7338033
2.0,4.0,20.0,14.960852
2.0,5.0,29.0,24.005344
2.0,6.0,40.0,34.92051
2.0,7.0,53.0,47.750404
2.0,8.0,68.0,62.528934
2.0,9.0,85.0,79.28375
2.0,10.0,104.0,98.03398
2.0,11.0,125.0,118.79243
2.0,12.0,148.0,141.56874
2.0,13.0,173.0,166.36504
2.0,14.0,200.0,193.18233
2.0,15.0,229.0,222.01703
2.0,16.0,260.0,252.86418
2.0,17.0,293.0,285.71945
2.0,18.0,328.0,320.57617
2.0,19.0,365.0,357.42755
2.0,20.0,404.0,396.26892
2.0,21.0,445.0,437.0966
2.0,22.0,488.0,479.90717
2.0,23.0,533.0,524.70026
2.0,24.0,580.0,571.4783
2.0,25.0,629.0,620.24286
2.0,26.0,680.0,671.0013
2.0,27.0,733.0,723.7608
2.0,28.0,788.0,778.53033
2.0,29.0,845.0,835.32135
2.0,30.0,904.0,894.1448
2.0,31.0,965.0,955.0128
2.0,32.0,1028.0,1017.9384
2.0,33.0,1093.0,1082.9321
2.0,34.0,1160.0,1150.0017
2.0,35.0,1229.0,1219.1545
2.0,36.0,1300.0,1290.3922
2.0,37.0,1373.0,1363.7098
2.0,38.0,1448.0,1439.0994
2.0,39.0,1525.0,1516.5435
2.0,40.0,1604.0,1596.0175
2.0,41.0,1685.0,1677.4856
2.0,42.0,1768.0,1760.9043
2.0,43.0,1853.0,1846.2172
2.0,44.0,1940.0,1933.3552
2.0,45.0,2029.0,2022.2402
2.0,46.0,2120.0,2112.7786
2.0,47.0,2213.0,2204.8667
2.0,48.0,2308.0,2298.388
2.0,49.0,2405.0,2393.212
3.0,0.0,9.0,2.875113
3.0,1.0,10.0,5.034171
3.0,2.0,13.0,8.792314
3.0,3.0,18.0,14.23088
3.0,4.0,25.0,21.425594
3.0,5.0,34.0,30.438457
3.0,6.0,45.0,41.32409
3.0,7.0,58.0,54.125202
3.0,8.0,73.0,68.87842
3.0,9.0,90.0,85.61048
3.0,10.0,109.0,104.340866
3.0,11.0,130.0,125.08372
3.0,12.0,153.0,147.84743
3.0,13.0,178.0,172.6344
3.0,14.0,205.0,199.44583
3.0,15.0,234.0,228.2772
3.0,16.0,265.0,259.12476
3.0,17.0,298.0,291.98254
3.0,18.0,333.0,326.8425
3.0,19.0,370.0,363.69995
3.0,20.0,409.0,402.5472
3.0,21.0,450.0,443.38034
3.0,22.0,493.0,486.19623
3.0,23.0,538.0,530.99335
3.0,24.0,585.0,577.7718
3.0,25.0,634.0,626.53564
3.0,26.0,685.0,677.2902
3.0,27.0,738.0,730.0408
3.0,28.0,793.0,784.7976
3.0,29.0,850.0,841.57074
3.0,30.0,909.0,900.373
3.0,31.0,970.0,961.2145
3.0,32.0,1033.0,1024.109
3.0,33.0,1098.0,1089.0681
3.0,34.0,1165.0,1156.1001
3.0,35.0,1234.0,1225.2117
3.0,36.0,1305.0,1296.4065
3.0,37.0,1378.0,1369.6824
3.0,38.0,1453.0,1445.031
3.0,39.0,1530.0,1522.4374
3.0,40.0,1609.0,1601.879
3.0,41.0,1690.0,1683.321
3.0,42.0,1773.0,1766.7225
3.0,43.0,1858.0,1852.028
3.0,44.0,1945.0,1939.1721
3.0,45.0,2034.0,2028.0765
3.0,46.0,2125.0,2118.651
3.0,47.0,2218.0,2210.7915
3.0,48.0,2313.0,2304.3818
3.0,49.0,2410.0,2399.2952
4.0,0.0,16.0,10.832446
4.0,1.0,17.0,12.968911
4.0,2.0,20.0,16.702188
4.0,3.0,25.0,22.11562
4.0,4.0,32.0,29.28368
4.0,5.0,41.0,38.270893
4.0,6.0,52.0,49.13103
4.0,7.0,65.0,61.909264
4.0,8.0,80.0,76.64103
4.0,9.0,97.0,93.3544
4.0,10.0,116.0,112.069244
4.0,11.0,137.0,132.79991
4.0,12.0,160.0,155.55476
4.0,13.0,185.0,180.33617
4.0,14.0,212.0,207.14453
4.0,15.0,241.0,235.97693
4.0,16.0,272.0,266.8273
4.0,17.0,305.0,299.6902
4.0,18.0,340.0,334.55765
4.0,19.0,377.0,371.42294
4.0,20.0,416.0,410.27957
4.0,21.0,457.0,451.1218
4.0,22.0,500.0,493.94556
4.0,23.0,545.0,538.74963
4.0,24.0,592.0,585.53284
4.0,25.0,641.0,634.29926
4.0,26.0,692.0,685.0514
4.0,27.0,745.0,737.7968
4.0,28.0,800.0,792.5438
4.0,29.0,857.0,849.30334
4.0,30.0,916.0,908.08575
4.0,31.0,977.0,968.90466
4.0,32.0,1040.0,1031.7711
4.0,33.0,1105.0,1096.6974
4.0,34.0,1172.0,1163.6942
4.0,35.0,1241.0,1232.7677
4.0,36.0,1312.0,1303.923
4.0,37.0,1385.0,1377.1593
4.0,38.0,1460.0,1452.4685
4.0,39.0,1537.0,1529.8391
4.0,40.0,1616.0,1609.2489
4.0,41.0,1697.0,1690.666
4.0,42.0,1780.0,1774.049
4.0,43.0,1865.0,1859.3467
4.0,44.0,1952.0,1946.4949
4.0,45.0,2041.0,2035.4167
4.0,46.0,2132.0,2126.0237
4.0,47.0,2225.0,2218.213
4.0,48.0,2320.0,2311.8691
4.0,49.0,2417.0,2406.8657
5.0,0.0,25.0,20.285807
5.0,1.0,26.0,22.4071
5.0,2.0,29.0,26.121988
5.0,3.0,34.0,31.515581
5.0,4.0,41.0,38.663338
5.0,5.0,50.0,47.629654
5.0,6.0,61.0,58.470028
5.0,7.0,74.0,71.22937
5.0,8.0,89.0,85.94445
5.0,9.0,106.0,102.64359
5.0,10.0,125.0,121.346466
5.0,11.0,146.0,142.06854
5.0,12.0,169.0,164.81664
5.0,13.0,194.0,189.59602
5.0,14.0,221.0,216.40492
5.0,15.0,250.0,245.24106
5.0,16.0,281.0,276.09732
5.0,17.0,314.0,308.9679
5.0,18.0,349.0,343.8454
5.0,19.0,386.0,380.72244
5.0,20.0,425.0,419.58957
5.0,21.0,466.0,460.44366
5.0,22.0,509.0,503.27887
5.0,23.0,554.0,548.092
5.0,24.0,601.0,594.88354
5.0,25.0,650.0,643.65405
5.0,26.0,701.0,694.408
5.0,27.0,754.0,747.1504
5.0,28.0,809.0,801.8915
5.0,29.0,866.0,858.6394
5.0,30.0,925.0,917.4065
5.0,31.0,986.0,978.20483
5.0,32.0,1049.0,1041.0469
5.0,33.0,1114.0,1105.9442
5.0,34.0,1181.0,1172.9084
5.0,35.0,1250.0,1241.9471
5.0,36.0,1321.0,1313.0658
5.0,37.0,1394.0,1386.2643
5.0,38.0,1469.0,1461.5366
5.0,39.0,1546.0,1538.873
